region,year,week,case_c,pop_total,case_per_capita(‰),AMB_TEMP,NO,NO2,NOx,O3,PM10,PM25,RH,SO2
中彰投,2016,1,835,282418,2.96,19.84,7.28,17.27,24.57,18.77,52.15,28.32,82.55,2.84
中彰投,2016,2,2932,311622,9.41,17.16,3.06,15.25,18.3,25.01,42.6,23.24,80.18,2.63
中彰投,2016,3,3025,312231,9.69,16.9,4.49,18.13,22.65,21.16,43.98,25.68,80.7,2.72
中彰投,2016,4,3124,314149,9.94,12.92,5.11,15.69,20.73,23.66,39.54,19.44,76.4,2.61
中彰投,2016,5,3516,313527,11.21,16.01,4.39,15.38,19.73,22.51,29.89,15.2,84.24,2.34
中彰投,2016,6,4561,315811,14.44,14.8,2.75,13.51,16.16,38.64,62.23,36.76,64.68,3.04
中彰投,2016,7,2438,308489,7.9,17.82,3.69,14.73,18.37,20.9,39.74,22.51,74.79,2.6
中彰投,2016,8,4757,315811,15.06,16.43,3.46,17.55,21.04,27.16,63.22,34.5,76.46,2.64
中彰投,2016,9,4350,315811,13.77,17.25,3.8,18.48,22.3,31.24,64.22,33.04,71.15,3.11
中彰投,2016,10,4099,313986,13.05,20.31,4.0,17.54,21.54,25.31,55.75,33.57,76.48,3.25
中彰投,2016,11,3475,314149,11.06,15.99,6.01,20.84,26.77,20.52,39.49,23.6,86.71,2.63
中彰投,2016,12,3346,311989,10.72,19.13,4.98,18.43,23.4,22.82,56.02,32.52,87.3,2.6
中彰投,2016,13,3235,311936,10.37,17.37,2.36,17.1,19.47,44.14,63.04,36.9,65.64,3.28
中彰投,2016,14,3795,314979,12.05,24.43,2.65,13.86,16.51,30.51,72.41,44.24,76.95,3.16
中彰投,2016,15,2945,310038,9.5,23.66,2.63,14.44,17.04,27.74,47.75,28.51,81.06,3.01
中彰投,2016,16,2853,312033,9.14,24.28,2.5,13.74,16.19,29.42,47.24,25.38,80.26,2.76
中彰投,2016,17,2745,311824,8.8,25.92,2.22,11.48,13.75,26.16,42.61,22.85,77.44,2.96
中彰投,2016,18,2618,309805,8.45,25.25,2.46,12.7,15.08,33.53,54.33,31.39,75.24,2.96
中彰投,2016,19,2491,310520,8.02,27.61,2.51,11.17,13.6,27.54,37.75,19.42,73.67,3.04
中彰投,2016,20,2406,311825,7.72,25.91,1.99,11.81,13.76,38.26,45.09,23.08,75.16,2.99
中彰投,2016,21,2423,314979,7.69,26.8,2.38,13.46,15.81,28.19,45.43,25.35,81.12,3.16
中彰投,2016,22,2196,307364,7.14,29.82,1.99,6.97,8.94,21.62,29.19,11.87,72.4,2.31
中彰投,2016,23,1997,308836,6.47,28.47,2.1,8.1,10.14,26.39,27.22,12.76,76.34,2.58
中彰投,2016,24,1815,302229,6.01,27.24,2.16,7.22,9.35,19.61,21.87,8.42,81.45,2.03
中彰投,2016,25,1932,306901,6.3,29.28,2.28,7.69,9.95,22.15,28.55,11.93,73.71,2.69
中彰投,2016,26,1804,309011,5.84,29.69,2.24,7.88,10.2,22.62,29.34,13.35,73.46,2.67
